word,mine,Salah
fawn,1,0
biennials,0,0
gai,0,0
nunnery,0,0
localizes,-1,0
yppp,-1,0
oopsy,-1,-1
crucifer,0,0
placetype,0,0
gag,-1,-1
woods,0,0
clotted,-1,-1
spiders,0,0
hanging,0,1
bromelain,0,0
woody,-1,0
trawling,1,0
hastily,-1,-1
comically,-1,-1
localized,1,0
spidery,1,0
regularize,-1,-1
disobeying,-1,-1
caner,1,0
canes,0,0
ookie,-1,0
procainamide,-1,0
glasstec,1,0
lence,1,0
igual,1,0
localizer,-1,0
refunding,-1,-1
caned,-1,-1
nawawala,1,0
crossbar,1,0
justgiving,0,0
collpased,-1,-1
rumbustious,1,1
osteoblastic,-1,-1
touristed,1,0
slothful,-1,-1
naturopathic,0,0
somonis,0,0
discribed,1,-1
sendings,0,0
castlelike,0,0
grenadiers,0,0
replacer,0,1
pigment,0,0
electrosurgery,-1,0
miniter,0,0
bogyman,-1,-1
transvestism,-1,0
hydrolyzate,-1,0
gencos,0,-1
gwyn,1,0
broght,1,0
bringing,1,1
seamier,-1,-1
webchannel,0,0
wooded,1,0
shipworms,0,0
grueling,1,1
vibrational,-1,0
wooden,-1,0
wholemeal,0,0
penghulus,0,0
soirées,0,0
mythologically,-1,-1
wednesday,0,0
virtuosos,1,0
salination,0,0
circuitry,-1,0
crotch,0,0
amplifications,-1,0
sumbitted,-1,-1
busybody,-1,-1
immunities,1,0
auxilary,0,1
staffwriter,1,0
fuera,1,0
deserializers,1,0
gaskets,-1,0
lossmaking,-1,-1
snuggles,0,0
snuggler,1,1
complainers,-1,-1
shorthaul,1,1
desiccant,0,0
ultimatley,-1,-1
deadheads,0,0
clavicular,-1,0
consenting,1,0
reengineering,1,1
edical,1,0
hellgrammites,0,1
targa,1,0
snuggled,0,0
inanimate,-1,-1
uality,1,-1
errors,-1,-1
dialogs,-1,0
fawr,1,0
forbearer,1,0
disarticulate,-1,0
arenaviruses,-1,0
oods,0,0
salsify,0,0
reaccommodated,0,1
warmongering,-1,-1
usenet,-1,0
glyco,-1,0
designing,1,0
televangelists,0,0
numeral,0,0
pawed,-1,0
fabulists,-1,0
malting,0,0
evolutionism,-1,0
sevens,1,0
blogozine,1,0
presentence,-1,1
saucepans,0,0
cinacalcet,-1,0
mailings,0,0
perforations,-1,0
brainwashed,-1,-1
affiliates,0,0
quagmires,-1,-1
dieffenbachia,0,0
perfunctorily,-1,-1
praecox,0,0
repotting,0,0
wagyu,0,0
affiliated,1,0
nonuse,-1,-1
lahk,1,0
theless,-1,-1
epigenome,-1,-1
dooced,-1,-1
quart,0,0
kids,0,1
threadfins,0,1
uplifting,1,1
kidz,1,0
