word,Actual_Polarity,Calc_Polarity,NegativeSimilarity,NeutralSimilarity,PositiveSimilarity
outstand,1,1,0.274727047707,0.0983238502131,-0.0168857230791
disgust,-1,-1,0.197802856135,0.320227732083,0.0729751603908
lighting,0,0,0.0341307742556,0.027423539892,0.158648891238
substandard,-1,-1,0.299723336156,0.476228722507,0.0373482176019
worthlessly,-1,0,0.0719707722442,0.0636821618033,0.0764380244151
calumniously,-1,0,0.0719707722442,0.0636821618033,0.0764380244151
devious,-1,-1,0.159932920084,0.234530755598,0.0173210651752
meatloaf,0,0,0.0611109607078,0.0388209974082,0.192139720798
hazelnut,0,0,0.0685127623349,0.0346135493662,0.117931140539
horrendously,-1,-1,0.149877633408,0.175837317402,0.0416282676516
light,0,1,0.283382321343,0.142793161314,0.0732444433217
bother,-1,-1,0.18979822872,0.207762705062,0.0746029458507
belligerently,-1,-1,0.0405404686223,0.113198230926,0.0492174166116
marzipan,0,0,0.0650603601509,0.0226583996041,0.181751329078
practical,1,1,0.318634777717,0.191360861323,0.0420229361372
winningest,1,1,0.122433740383,0.0773551886783,0.0344258187211
extensive,1,1,0.283223539552,0.178439290508,0.0532042477478
wheat,0,0,0.0401045210685,0.0234885493273,0.103434875896
cobweb,0,0,0.03286321329,0.100430817532,0.111292236109
basil,0,0,0.0513142604202,0.0146842612249,0.135841840121
squab,0,0,0.0611289047847,0.0297181265993,0.167195921238
altruistic,1,1,0.230902202654,0.181725372511,0.0238869752758
smutty,-1,-1,0.151124157697,0.243317638882,0.0317390315797
ribbon,0,0,0.0572831845504,0.0102057593949,0.0802467746439
grubby,-1,-1,0.242971308936,0.376033813238,0.055660193436
teapot,0,0,0.0117803246497,-0.00860981885368,0.177017409315
train,1,0,-0.0637851841295,-0.0197491575126,0.109358626413
insupportably,-1,0,0.0719707722442,0.0636821618033,0.0764380244151
celery,0,0,0.0566222921948,0.0285494943778,0.132021697475
monstrously,-1,1,0.182322150064,0.13975233335,0.0434345233899
aggressive,-1,-1,0.231886074678,0.370219163384,0.0490435617159
entertain,1,1,0.217997911938,0.162709124846,0.128829105766
disgust,-1,-1,0.195437100892,0.315325287639,0.0733504795119
price,0,0,0.0560022754742,0.0654478181672,0.135868220613
kickass,-1,1,0.265102671743,0.168149815521,0.0539812573121
pan,0,0,-0.0441066966601,-0.0827742226608,0.166001614199
revere,1,1,0.107234210335,0.0989487270509,0.0502960685914
indecently,-1,1,0.0784098463822,0.0558917205794,0.0200585383299
accomodative,1,1,0.201697194397,0.159971365571,0.0530365377322
repressive,-1,-1,0.0381847193252,0.157859353535,0.0553242232785
illogic,-1,-1,0.108116355587,0.19495527175,0.0693110780364
torpidity,-1,-1,0.0781403137603,0.164118512879,0.0596897144291
ridiculous,-1,-1,0.275156034219,0.449340547231,0.040249774123
sicken,-1,-1,0.107120997313,0.196153102235,0.068509293224
transcendent,1,1,0.260436602325,0.155155865258,0.0320000209529
acrid,-1,-1,0.264066818568,0.426462481094,0.0455889351241
grumpily,-1,-1,0.129199731411,0.148705471479,0.0838412587484
enchant,1,1,0.151195501303,0.0680170902602,0.0304003586232
enchantingly,1,1,0.224045070107,0.0573712390822,0.0181231884679
saute,0,0,0.058183696156,0.031955207842,0.150323851871
cognac,0,0,0.0775767205013,0.00489503416281,0.135904595818
appalling,-1,-1,0.283908201189,0.432695289465,0.0463248852843
insult,-1,-1,0.174372849271,0.273945074985,0.0634684656986
appropriate,1,1,0.280400838252,0.238073786341,-0.00698861931219
walnut,0,0,0.0652711526697,0.0191093570636,0.0840680322767
apprehensively,-1,1,0.168277534031,0.154744859337,0.0696758280097
handsomely,1,1,0.247779584037,0.0722022116483,0.0358976696572
