word,Actual_Polarity,Calc_Polarity,NegativeSimilarity,NeutralSimilarity,PositiveSimilarity
outstand,1,1,0.135129353056,0.201857249202,0.663013397741
disgust,-1,-1,0.987568187523,0.00754423738964,0.00488757508766
lighting,0,0,0.0492249568457,0.725696144522,0.225078898633
substandard,-1,-1,0.99319531574,0.00476645772337,0.00203822653634
worthlessly,-1,0,0.261741577739,0.464507169447,0.273751252814
calumniously,-1,0,0.261741577739,0.464507169447,0.273751252814
devious,-1,-1,0.951964088706,0.00370975046636,0.044326160828
meatloaf,0,0,2.90298804432e-06,0.9982199793,0.00177711771185
hazelnut,0,0,1.52297621604e-06,0.99871228905,0.00128618797415
horrendously,-1,-1,0.982547945461,0.00768762776878,0.0097644267699
light,0,0,0.0849737103353,0.743630905475,0.17139538419
bother,-1,-1,0.959462060757,0.0244573974768,0.0160805417659
belligerently,-1,-1,0.988204340749,0.00121178064406,0.0105838786071
marzipan,0,0,0.00248071849726,0.976884640963,0.02063464054
practical,1,1,0.00953270407528,0.190260393971,0.800206901953
winningest,1,1,0.0167382863418,0.0851326840399,0.898129029618
extensive,1,1,0.00248404937041,0.137293457199,0.86022249343
wheat,0,0,8.50084688081e-06,0.997671150223,0.00232034893039
cobweb,0,0,0.227133198279,0.710011552312,0.0628552494093
basil,0,0,3.37607109093e-06,0.997990349506,0.00200627442258
squab,0,0,0.00170071160636,0.977337803467,0.0209614849262
altruistic,1,1,0.157303002051,0.00804002600448,0.834656971944
smutty,-1,-1,0.970016424886,0.00728832745814,0.022695247656
ribbon,0,0,0.00302971046068,0.970379758177,0.0265905313626
grubby,-1,-1,0.971314760045,0.0142516024372,0.014433637518
teapot,0,0,0.0107024634645,0.967425387242,0.0218721492932
train,1,0,0.0136615804744,0.684200707772,0.302137711754
insupportably,-1,0,0.261741577739,0.464507169447,0.273751252814
celery,0,0,1.65912905636e-06,0.998712159048,0.00128618182298
monstrously,-1,-1,0.909249879259,0.0239567807741,0.0667933399674
aggressive,-1,-1,0.905840961314,0.0151618640304,0.0789971746561
entertain,1,1,0.00675057260925,0.0593842468567,0.933865180534
disgust,-1,-1,0.987568187523,0.00754423738964,0.00488757508766
price,0,0,0.0591413380451,0.842733498241,0.0981251637135
kickass,-1,1,0.014642817779,0.0872460042343,0.898111177987
pan,0,0,0.0044359838761,0.970559966302,0.0250040498223
revere,1,1,0.0254689477261,0.00806495818138,0.966466094093
indecently,-1,0,0.564199055813,0.0219795522006,0.413821391987
accomodative,1,1,0.277249877597,0.0987319428978,0.624018179505
repressive,-1,-1,0.965961568195,0.00456997105932,0.0294684607452
illogic,-1,-1,0.976137922665,0.00954993298989,0.0143121443447
torpidity,-1,-1,0.731858859496,0.108075743589,0.160065396915
ridiculous,-1,-1,0.81845322286,0.0341227915261,0.147423985614
sicken,-1,-1,0.951486576465,0.0305634317007,0.0179499918341
transcendent,1,1,0.00301769483408,0.00167851143085,0.995303793735
acrid,-1,-1,0.843966117966,0.129112560111,0.0269213219231
grumpily,-1,-1,0.986505273141,0.00690503594325,0.00658969091597
enchant,1,1,0.000267007018807,0.00238993503467,0.997343057947
enchantingly,1,1,0.0110101996938,0.0409938660918,0.947995934214
saute,0,0,1.15479950701e-05,0.996305307678,0.00368314432662
cognac,0,0,0.0022713921611,0.980526076575,0.0172025312642
appalling,-1,-1,0.992410620336,0.000855848570972,0.00673353109308
insult,-1,-1,0.996260349965,0.00248790021248,0.00125174982217
appropriate,1,1,0.051906494522,0.102707628804,0.845385876674
walnut,0,0,4.64783439044e-06,0.997635624788,0.00235972737752
apprehensively,-1,0,0.555321240004,0.111994521638,0.332684238358
handsomely,1,1,0.0160881857154,0.0076177490794,0.976294065205
peppy,1,1,0.004095518305,0.00663332049296,0.989271161202
derogatory,-1,-1,0.990307823419,0.00726410004987,0.00242807653115
kiwi,0,0,0.0011572509254,0.960702963136,0.0381397859386
scornfully,-1,-1,0.991714921066,0.00180768866349,0.00647739027041
gelatin,0,0,3.45866392492e-05,0.993869688546,0.00609572481431
rotten,-1,-1,0.940739780877,0.0533028746409,0.0059573444822
harshly,-1,-1,0.996716548119,0.000558883174958,0.00272456870585
roll,0,0,0.0717972368239,0.809680469347,0.118522293829
abrupt,-1,-1,0.97381952702,0.0106420202839,0.0155384526961
talented,1,1,0.000602073210085,0.00545349706119,0.993944429729
huge,0,1,0.0303568492049,0.351335715517,0.618307435279
heavenly,1,1,0.00122123479407,0.0507650307616,0.948013734444
rapture,1,1,0.217231384415,0.0304138458989,0.752354769686
regrettable,-1,-1,0.907195803588,0.0078669148122,0.0849372815996
meal,0,0,2.05839256629e-05,0.995000076775,0.00497933929967
mess,-1,-1,0.954140748698,0.0391492327726,0.00671001852975
clam,0,0,0.00945775349354,0.986014639967,0.00452760653911
slowwww,-1,0,0.261741577739,0.464507169447,0.273751252814
request,0,0,0.00870438110442,0.771532408076,0.21976321082
thankful,1,1,0.0047471078585,0.0407655841239,0.954487308018
delectation,1,1,0.0911952270168,0.132105628746,0.776699144237
awesomely,1,1,0.0748834460128,0.0449063854744,0.880210168513
beauty,1,1,0.00154440174006,0.117383350293,0.881072247967
majestic,1,1,0.000633015231341,0.00655586504023,0.992811119728
exquisite,1,1,5.84411326495e-05,0.0100079843663,0.989933574501
entire,0,0,0.223933480504,0.418909660973,0.357156858523
hartshorn,0,0,0.261741577739,0.464507169447,0.273751252814
valiant,1,1,0.0896887597338,0.00553794372803,0.904773296538
magnificent,1,1,8.38828944147e-06,0.00218630746355,0.997805304247
ration,0,0,0.00551655015736,0.914112591583,0.0803708582596
seedy,-1,-1,0.845784686361,0.0993405661428,0.0548747474963
guava,0,0,3.08692293335e-05,0.993844323088,0.00612480768256
joyfully,1,1,0.0159332512337,0.0106835564295,0.973383192337
marinara,0,0,9.72096878207e-06,0.996671515642,0.00331876338914
disastrously,-1,-1,0.987074272974,0.00428405463635,0.00864167238957
overcharge,-1,-1,0.921672065429,0.0602457283893,0.0180822061816
disgraceful,-1,-1,0.997955559236,0.000416843197492,0.0016275975667
atrocious,-1,-1,0.985607238706,0.000751126645706,0.0136416346483
maliciously,-1,-1,0.985470161102,0.0068384686778,0.00769137022035
sloooow,-1,-1,0.578428365687,0.197517379414,0.224054254899
uncivil,-1,-1,0.997935552093,0.000423505717406,0.00164094218929
burger,0,0,2.08682719044e-06,0.999403233293,0.000594679879878
spirited,1,1,0.0126274886806,0.00444936152996,0.982923149789
